order_id,order_date,order_time,order_hour,feature_active,period,zone,delivery_distance_km,distance_bucket,peak_flag,delivery_time_min,promised_eta_min,order_status,customer_rating,rider_id,delay_min,on_time_flag,sla_breach,cancelled_flag,customer_rating_filled
1000,2024-02-10,2024-02-10 11:47:00,11,No,After,High,5.75,Medium (3-7 km),Non-Peak,35.2,23.1,Delivered,3.9,R189,12.100000000000001,0,1,0,3.9
1001,2024-01-07,2024-01-07 18:57:00,18,Yes,Before,Medium,7.43,Long (7+ km),Non-Peak,30.5,26.9,Delivered,4.3,R009,3.6000000000000014,0,0,0,4.3
1002,2024-01-02,2024-01-02 10:14:00,10,Yes,Before,Medium,1.72,Short (0-3 km),Non-Peak,15.6,15.6,Cancelled,,R051,0.0,1,0,1,0.0
1003,2024-02-15,2024-02-15 17:34:00,17,No,After,High,3.62,Medium (3-7 km),Non-Peak,20.7,20.3,Delivered,3.7,R072,0.3999999999999986,0,0,0,3.7
1004,2024-02-21,2024-02-21 20:48:00,20,No,After,Low,2.2,Short (0-3 km),Peak,37.4,15.0,Delivered,3.9,R088,22.4,0,1,0,3.9
1005,2024-01-18,2024-01-18 11:48:00,11,Yes,Before,High,3.32,Medium (3-7 km),Non-Peak,20.2,18.6,Delivered,3.8,R025,1.5999999999999979,0,0,0,3.8
1006,2024-01-23,2024-01-23 19:38:00,19,Yes,Before,High,4.45,Medium (3-7 km),Peak,25.2,20.7,Delivered,3.5,R118,4.5,0,0,0,3.5
1008,2024-02-09,2024-02-09 20:23:00,20,No,After,Medium,3.86,Medium (3-7 km),Peak,30.6,19.3,Delivered,4.3,R012,11.3,0,1,0,4.3
1009,2024-02-12,2024-02-12 12:18:00,12,No,After,Low,2.55,Short (0-3 km),Peak,45.4,17.8,Delivered,3.2,R026,27.599999999999998,0,1,0,3.2
1010,2024-01-25,2024-01-25 13:40:00,13,Yes,Before,Low,3.84,Medium (3-7 km),Peak,31.7,19.4,Delivered,4.1,R091,12.3,0,1,0,4.1
1011,2024-01-14,2024-01-14 17:44:00,17,Yes,Before,Low,3.65,Medium (3-7 km),Non-Peak,24.4,19.9,Delivered,4.2,R156,4.5,0,0,0,4.2
1012,2024-02-10,2024-02-10 11:46:00,11,No,After,High,7.4,Long (7+ km),Non-Peak,34.6,28.6,Delivered,4.6,R070,6.0,0,0,0,4.6
1014,2024-02-19,2024-02-19 10:52:00,10,No,After,High,3.86,Medium (3-7 km),Non-Peak,21.4,19.7,Delivered,3.9,R069,1.6999999999999993,0,0,0,3.9
1015,2024-01-05,2024-01-05 12:36:00,12,Yes,Before,Low,3.02,Medium (3-7 km),Peak,28.7,17.1,Delivered,3.9,R168,11.599999999999998,0,1,0,3.9
1016,2024-02-01,2024-02-01 14:58:00,14,No,After,Medium,7.08,Long (7+ km),Peak,44.5,28.3,Cancelled,,R036,16.2,0,1,1,0.0
1017,2024-01-16,2024-01-16 18:34:00,18,Yes,Before,High,8.9,Long (7+ km),Non-Peak,32.9,29.9,Delivered,4.6,R150,3.0,0,0,0,4.6
1018,2024-01-26,2024-01-26 13:08:00,13,Yes,Before,Medium,3.68,Medium (3-7 km),Peak,23.7,18.1,Delivered,4.4,R013,5.599999999999998,0,0,0,4.4
1019,2024-02-25,2024-02-25 11:40:00,11,No,After,High,1.19,Short (0-3 km),Non-Peak,18.7,13.6,Delivered,3.6,R153,5.1,0,0,0,3.6
1020,2024-01-05,2024-01-05 14:38:00,14,Yes,Before,Low,5.49,Medium (3-7 km),Peak,37.8,23.2,Delivered,4.2,R142,14.599999999999998,0,1,0,4.2
1021,2024-02-25,2024-02-25 21:43:00,21,No,After,Medium,1.94,Short (0-3 km),Peak,26.2,15.8,Delivered,3.4,R138,10.399999999999999,0,1,0,3.4
1022,2024-02-18,2024-02-18 12:41:00,12,No,After,High,4.07,Medium (3-7 km),Peak,34.7,21.9,Delivered,4.2,R041,12.800000000000004,0,1,0,4.2
1023,2024-01-30,2024-01-30 08:46:00,8,Yes,Before,Low,2.52,Short (0-3 km),Non-Peak,23.1,17.7,Delivered,5.0,R129,5.400000000000002,0,0,0,5.0
1024,2024-02-18,2024-02-18 12:58:00,12,No,After,High,2.22,Short (0-3 km),Peak,40.9,15.0,Delivered,3.4,R164,25.9,0,1,0,3.4
1025,2024-02-02,2024-02-02 17:09:00,17,No,After,High,10.52,Long (7+ km),Non-Peak,43.2,33.8,Delivered,3.1,R200,9.400000000000006,0,0,0,3.1
1026,2024-02-29,2024-02-29 16:00:00,16,No,After,Medium,5.68,Medium (3-7 km),Non-Peak,35.4,25.3,Delivered,3.5,R029,10.099999999999998,0,1,0,3.5
1027,2024-02-29,2024-02-29 13:53:00,13,No,After,Low,3.75,Medium (3-7 km),Peak,51.4,19.9,Delivered,2.7,R062,31.5,0,1,0,2.7
1028,2024-02-26,2024-02-26 16:05:00,16,No,After,High,4.92,Medium (3-7 km),Non-Peak,29.5,23.0,Delivered,2.9,R018,6.5,0,0,0,2.9
1029,2024-02-18,2024-02-18 16:08:00,16,No,After,High,6.1,Medium (3-7 km),Non-Peak,34.7,23.4,Delivered,3.9,R141,11.300000000000004,0,1,0,3.9
1030,2024-01-11,2024-01-11 12:55:00,12,Yes,Before,Medium,3.14,Medium (3-7 km),Peak,29.3,18.9,Delivered,4.6,R139,10.400000000000002,0,1,0,4.6
1031,2024-02-18,2024-02-18 18:12:00,18,No,After,Medium,2.78,Short (0-3 km),Non-Peak,23.9,18.7,Delivered,4.5,R172,5.199999999999999,0,0,0,4.5
1032,2024-02-11,2024-02-11 13:57:00,13,No,After,Medium,6.76,Medium (3-7 km),Peak,46.3,25.7,Cancelled,,R058,20.599999999999998,0,1,1,0.0
1033,2024-01-05,2024-01-05 13:37:00,13,Yes,Before,Medium,6.95,Medium (3-7 km),Peak,35.7,26.8,Delivered,4.5,R002,8.900000000000002,0,0,0,4.5
1034,2024-01-05,2024-01-05 18:03:00,18,Yes,Before,High,3.93,Medium (3-7 km),Non-Peak,23.1,19.5,Delivered,3.7,R085,3.6000000000000014,0,0,0,3.7
1035,2024-01-05,2024-01-05 16:17:00,16,Yes,Before,Medium,4.58,Medium (3-7 km),Non-Peak,24.2,23.0,Delivered,4.6,R034,1.1999999999999993,0,0,0,4.6
1036,2024-02-16,2024-02-16 21:36:00,21,No,After,Medium,2.93,Short (0-3 km),Peak,31.4,17.0,Delivered,4.1,R122,14.399999999999999,0,1,0,4.1
1037,2024-02-21,2024-02-21 14:06:00,14,No,After,High,4.69,Medium (3-7 km),Peak,47.1,23.3,Delivered,3.2,R109,23.8,0,1,0,3.2
1038,2024-01-27,2024-01-27 15:46:00,15,Yes,Before,High,4.61,Medium (3-7 km),Non-Peak,22.5,22.2,Delivered,4.5,R166,0.3000000000000007,0,0,0,4.5
1039,2024-01-07,2024-01-07 10:46:00,10,Yes,Before,High,2.77,Short (0-3 km),Non-Peak,20.0,18.5,Delivered,3.8,R064,1.5,0,0,0,3.8
1040,2024-01-13,2024-01-13 12:28:00,12,Yes,Before,High,5.8,Medium (3-7 km),Peak,38.1,24.9,Delivered,4.9,R119,13.200000000000003,0,1,0,4.9
1041,2024-01-16,2024-01-16 20:04:00,20,Yes,Before,High,5.03,Medium (3-7 km),Peak,26.2,21.3,Delivered,3.3,R141,4.899999999999999,0,0,0,3.3
1042,2024-01-07,2024-01-07 10:34:00,10,Yes,Before,Low,3.52,Medium (3-7 km),Non-Peak,28.3,18.6,Delivered,3.1,R193,9.7,0,0,0,3.1
1043,2024-02-24,2024-02-24 12:26:00,12,No,After,High,3.64,Medium (3-7 km),Peak,30.5,19.6,Delivered,3.3,R103,10.899999999999999,0,1,0,3.3
1044,2024-02-27,2024-02-27 10:24:00,10,No,After,High,6.3,Medium (3-7 km),Non-Peak,33.0,25.5,Delivered,3.3,R117,7.5,0,0,0,3.3
1045,2024-01-19,2024-01-19 14:46:00,14,Yes,Before,Low,8.86,Long (7+ km),Peak,43.8,30.5,Delivered,4.5,R184,13.299999999999997,0,1,0,4.5
1046,2024-02-01,2024-02-01 11:18:00,11,No,After,High,3.22,Medium (3-7 km),Non-Peak,23.3,17.2,Delivered,3.2,R189,6.100000000000001,0,0,0,3.2
1047,2024-02-04,2024-02-04 10:20:00,10,No,After,High,10.28,Long (7+ km),Non-Peak,42.2,34.8,Delivered,2.7,R129,7.400000000000006,0,0,0,2.7
1048,2024-02-28,2024-02-28 20:10:00,20,No,After,High,2.39,Short (0-3 km),Peak,44.7,16.5,Delivered,3.3,R048,28.200000000000003,0,1,0,3.3
1049,2024-01-05,2024-01-05 17:43:00,17,Yes,Before,Low,2.36,Short (0-3 km),Non-Peak,24.6,15.5,Delivered,2.3,R146,9.100000000000001,0,0,0,2.3
1050,2024-01-16,2024-01-16 17:02:00,17,Yes,Before,Medium,2.69,Short (0-3 km),Non-Peak,17.7,17.1,Delivered,5.0,R150,0.5999999999999979,0,0,0,5.0
1051,2024-02-06,2024-02-06 16:59:00,16,No,After,High,8.69,Long (7+ km),Non-Peak,37.6,31.7,Delivered,5.0,R081,5.900000000000002,0,0,0,5.0
1052,2024-01-16,2024-01-16 12:08:00,12,Yes,Before,Medium,2.74,Short (0-3 km),Peak,25.1,16.1,Delivered,3.8,R081,9.0,0,0,0,3.8
1053,2024-02-29,2024-02-29 18:04:00,18,No,After,High,6.19,Medium (3-7 km),Non-Peak,29.7,25.5,Delivered,5.0,R145,4.199999999999999,0,0,0,5.0
1054,2024-01-07,2024-01-07 10:13:00,10,Yes,Before,Medium,1.69,Short (0-3 km),Non-Peak,18.0,16.6,Delivered,3.9,R090,1.3999999999999986,0,0,0,3.9
1055,2024-02-26,2024-02-26 10:15:00,10,No,After,High,4.97,Medium (3-7 km),Non-Peak,27.8,23.0,Delivered,3.5,R140,4.800000000000001,0,0,0,3.5
