order_id,order_date,order_time,order_hour,feature_active,period,zone,delivery_distance_km,distance_bucket,peak_flag,delivery_time_min,promised_eta_min,order_status,customer_rating,rider_id
1000,2024-02-10,2024-02-10 11:47:00,11,No,After,High,5.75,Medium (3-7 km),Non-Peak,35.2,23.1,Delivered,3.9,R189
1001,2024-01-07,2024-01-07 18:57:00,18,Yes,Before,Medium,7.43,Long (7+ km),Non-Peak,30.5,26.9,Delivered,4.3,R009
1002,2024-01-02,2024-01-02 10:14:00,10,Yes,Before,Medium,1.72,Short (0-3 km),Non-Peak,15.6,15.6,Cancelled,,R051
1003,2024-02-15,2024-02-15 17:34:00,17,No,After,High,3.62,Medium (3-7 km),Non-Peak,20.7,20.3,Delivered,3.7,R072
1004,2024-02-21,2024-02-21 20:48:00,20,No,After,Low,2.2,Short (0-3 km),Peak,37.4,15.0,Delivered,3.9,R088
1005,2024-01-18,2024-01-18 11:48:00,11,Yes,Before,High,3.32,Medium (3-7 km),Non-Peak,20.2,18.6,Delivered,3.8,R025
1006,2024-01-23,2024-01-23 19:38:00,19,Yes,Before,High,4.45,Medium (3-7 km),Peak,25.2,20.7,Delivered,3.5,R118
1007,2024-02-04,2024-02-04 11:59:00,11,No,After,High,17.98,Long (7+ km),Non-Peak,64.4,52.3,Delivered,3.6,R161
1008,2024-02-09,2024-02-09 20:23:00,20,No,After,Medium,3.86,Medium (3-7 km),Peak,30.6,19.3,Delivered,4.3,R012
1009,2024-02-12,2024-02-12 12:18:00,12,No,After,Low,2.55,Short (0-3 km),Peak,45.4,17.8,Delivered,3.2,R026
1010,2024-01-25,2024-01-25 13:40:00,13,Yes,Before,Low,3.84,Medium (3-7 km),Peak,31.7,19.4,Delivered,4.1,R091
1011,2024-01-14,2024-01-14 17:44:00,17,Yes,Before,Low,3.65,Medium (3-7 km),Non-Peak,24.4,19.9,Delivered,4.2,R156
1012,2024-02-10,2024-02-10 11:46:00,11,No,After,High,7.4,Long (7+ km),Non-Peak,34.6,28.6,Delivered,4.6,R070
